JobTitle,JobCompanyName,JobLocation,JobPostedDate,PositonID,JobLink,JobDesc,DateScrapedOn,
SDET-Automation tester,Aditya Birla Group,West Palm Beach  FL+1 location•Remote,1 day ago,job_4f8650a38229fd4e,https://www.indeed.com/company/Aditya-Birla-Group/jobs/Sdet-Automation-Tester-4f8650a38229fd4e?fccid=bcea998fe2ab5099&vjs=3,C# and Selenium Automation (C# experience must). Test Automation - Spec flow  Selenium.,2021/08/18 22:27:22
Senior Engineer,Brillio,Santa Clara  CA 95054,Just posted,job_c52408765ec8be59,https://www.indeed.com/rc/clk?jk=c52408765ec8be59&fccid=a2520645450d003a&vjs=3,8 years of progressive development experience as a Software Engineer. Must have technical lead experience for medium to large sized projects.,2021/08/18 22:27:22
Automated Tester / Remote,CyOne  Inc.,Remote,1 day ago,job_094fb89420d7e28d,https://www.indeed.com/rc/clk?jk=094fb89420d7e28d&fccid=d84ff0b2eb9e8305&vjs=3,The candidate will participate in the design  development  enhancement of test scripts and manual testing efforts for CyOne’s platforms.,2021/08/18 22:27:22
QA Engineer,MHRIT,Michigan  ND•Temporarily Remote,Today,job_fd9c3debaae1b368,https://www.indeed.com/company/MHRIT/jobs/QA-Engineer-fd9c3debaae1b368?fccid=a23b3521c3a03fbf&vjs=3,(like selenium or other alternatives)*. We are seeking a talented QA automation engineer to design testing procedures for our software applications.,2021/08/18 22:27:22
Jr. QA Tester,People Tech Group,Warren  MI•Temporarily Remote,Just posted,sj_c0f004c938676071,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2UUPW2tVhfpZrjs__OcwgoZzfO93HUtBUcPCT5kT-Ff-9gmsqs8yn90Cp2CBaFG22M8zlSnbw4ZAR-pAZNbUijjHvJM7c6aBW3cPQ0E4Du-UWuARBS_48TnQp1j6c7WS0Jtn2aGemEIwCb3hYchRHBk5zohhuHetCWZtz3tdeViFCQKkawQMUQ_dec8tPRY6LSgTqqtl049-nNW3hwhnmemYhiBMhF_zYqPio2TZOqCF3jf8gFFR_2Los-bUYRKdKcjWsniDHTGMD4Yssp-yIgjiWfSSxVOtOsvgRIw0wUjLctKhlWlWaAEcAy0iiAuSmvSuMX4qzZR4kze3r4XCdLtXsX_iul9PqT5zkQDkMa4Aa0EAzADYkXQJlHta6FdMRhZhRj2OhPvsHvWHnNLWYg-eE46lWOsQoKfs8mCKbiwJJRDU8l0vuYGfFNjsI1v2B1RY1p8MZbYcgURo9lFHP&p=0&fvj=1&vjs=3,Resource should have 2+ years of software application testing/quality analysis experience. Any embedded/hardware experience would be advantage.,2021/08/18 22:27:25
Automation Tester,TEKsystems,Charlotte  NC 28201 (Myers Park area),Just posted,sj_8f3770c15b8d8a22,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuKz8EBO1xHDEL7V2YF9xF3dC_I9B9i-Zw2Jh8clPMK9BxhHDJszxSI9HGOLQ9iPauRr9kl1Wac2VVGV1aufdrEtoChJq_qGa61M-sEER3YJWkD_zG-W_e7syvYuC_NifK5wx-S2pYu9_aA2xM_W39vhzM58ANaa4L9J8N7KbzrMO-gFZXk4uZqfcctLhSXuAGesDV4pUlygET0uDU14TVUWcr25jhO0iF1Y1JRIl76joscmaQtUBlz27JgJ-kJEPQDvBR0z1oZA_W_d_ohQZphVjh9q1gbmromNKdcDz1OvTMEmE-f-cbugF4mpFsrZ9kSx0udJ2761bCutLzDENDK3V9i50U1har3XJvPjQGWKyCrP_M84hSofIvnPAlKfyl4dennEgyTZJV5nXeo3FtsaAR1kDBQCPuCXMcIaXi2X_8bIMrf3Nt8r-R7aCIpqI4842R_TOoHW4IeFjGe0kTcL37kIXdsQjyOCXIvJUGpLdWdtO-VZJOCAJm4FBvtlM4-jR7C2t2psIbRMyAzIgP44lnnDg_dl1JUGEsxpHR3l5hZrdAISAQkhzmrivoECv3-zgnjlU3swHmoI_8epDHHqr_E0Ucxx1v4DpEG3-zOPR9Mkjswzve6pIzkmlrRHzhgCXzvrY9Xz83AbXikb_gboTUMgJMzz2jVnUm5lIvbIJPikQbMvmNoo4eVAdGrQcFnI7ERG0SmMn3ksVtNYvcZ6RwsiVXV1dRoTSoASGTWyiu23U1xhavekecnsDZjtK1gkQyJVdufBkKdThbysiGk1NmbsVoL24etWs0fAQfFSrm1r0Pa_fEwjv3NdQ1UMXzMK4qrsswDVDOpcZPaHcn0sJmAULy8chqEmTN1H1JhHzjWli9JFzw2xrvr9R6olZ1fPDsJYok_oeF2UbVVMRQEnQN8OPRiNReY10uAMPo3eqUOsJBnBZCIe3VCqj9jAyJdBaw0-Z5og==&p=1&fvj=0&vjs=3,Don’t want to see people with selenium. #1 80% automation testing  20% manual testing – any lead experience is preferred -Must have experience building…,2021/08/18 22:27:26
Automation tester,Brillio,Phoenix  AZ,Just posted,job_136ce6dc5caf1c41,https://www.indeed.com/rc/clk?jk=136ce6dc5caf1c41&fccid=a2520645450d003a&vjs=3,Essential Duties Setting up  maintaining test automation frameworks on multiple application platforms  for APIs and Microservices deployed on prem and on cloud.,2021/08/18 22:27:26
Senior QA Specialist,W2O Group,Florham Park  NJ,Just posted,job_67ed6777062aad2d,https://www.indeed.com/rc/clk?jk=67ed6777062aad2d&fccid=a02a309f2586b2dd&vjs=3,For this role  we are seeking a n individual who will act as a validation and quality assurance professional for Web and mobile applications   b ecomes the SME…,2021/08/18 22:27:26
End to End Testing Technical Program Manager for Fortune 500...,READY ARTWORK,Remote,Today,job_9e88e494075c0342,https://www.indeed.com/company/READY-ARTWORK/jobs/End-End-Testing-Technical-Program-Manager-Fortune-Company-9e88e494075c0342?fccid=37a01c3e42a80089&vjs=3,Ready Artwork specializes in designing and marketing websites for private and public brands. We grow clients’ online presence through custom website designs  E…,2021/08/18 22:27:26
Quality Assurance Engineer for Fortune 500 Company,READY ARTWORK,Remote,Just posted,job_689988d03f34ab23,https://www.indeed.com/company/READY-ARTWORK/jobs/Quality-Assurance-Engineer-Fortune-Company-689988d03f34ab23?fccid=37a01c3e42a80089&vjs=3,Ready Artwork specializes in designing and marketing websites for private and public brands. We grow clients’ online presence through custom website designs  E…,2021/08/18 22:27:27
Machine Learning Engineer,Riiid Labs,San Ramon  CA 94583•Remote,1 day ago,job_3fd1b6d072930fda,https://www.indeed.com/company/Riiid-Labs/jobs/Machine-Learning-Engineer-3fd1b6d072930fda?fccid=6c8318d2d4fc1660&vjs=3,We’re in search of a Machine Learning Engineer who’s ready to help us improve our customer experience by building performant systems that bring our business to…,2021/08/18 22:27:27
Quality Engineer (Open to Remote),Modern Campus,Remote,Just posted,job_0cefcfb740fe52ab,https://www.indeed.com/rc/clk?jk=0cefcfb740fe52ab&fccid=3a07c685a2b4b3ed&vjs=3,The Quality Engineer will be expected to have to have working knowledge of C#  JavaScript  Angular  Python and SQL. Data Driven and Behavior Driven Frameworks.,2021/08/18 22:27:27
