JobTitle,JobCompanyName,JobLocation,JobPostedDate,PositonID,JobLink,JobDesc,DateScrapedOn,
R0058767- Full Stack Software Engineer,Braintree,Illinois•Remote,Today,job_5ffbba24d970fe1c,https://www.indeed.com/rc/clk?jk=5ffbba24d970fe1c&fccid=0020d0f25b7dca49&vjs=3,Interest in test driven development and specific experiences using data and testing to create solutions and solve problems.,2021/08/19 15:03:00
Full Stack Developer,RockSourceIT,New York  NY•Temporarily Remote,Just posted,job_cd2fc2c04b0dddff,https://www.indeed.com/company/RockSourceIT/jobs/Full-Stack-Developer-cd2fc2c04b0dddff?fccid=5b607525fabbd157&vjs=3,Continuous delivery  automated testing within the team. Be a technical leader within the team you work with and within the Engineering team in general.,2021/08/19 15:03:00
Email Developer,Ragnarok,Remote,Today,job_65a0264803a9523b,https://www.indeed.com/company/Ragnarok/jobs/Email-Developer-65a0264803a9523b?fccid=bba3feb522814f86&vjs=3,Has strong email etiquette and can communicate with testing  QC  and updates directly with clients. As a full-service agency  Ragnarok bridges the gap between…,2021/08/19 15:03:00
Selenium Tester,Kani Solutions Inc.,Newark  NJ•Temporarily Remote,Today,job_386dc51dfff388e8,https://www.indeed.com/company/Kani-Solutions-Inc./jobs/Selenium-Tester-386dc51dfff388e8?fccid=22363ba265dbde07&vjs=3,Participating in API testing using REST ASSURED. Automation test person with 2 to 7 years of experience in selenium and API automation.,2021/08/19 15:03:00
Software Developer - API,Prudential,Newark  NJ 07102 (Central Business District area),Today,job_975825feea927cab,https://www.indeed.com/rc/clk?jk=975825feea927cab&fccid=4144c0c6235e4037&vjs=3,Experience in test driven development  unit testing and smoke testing. Thrive to ensure code quality is high by conducting testing using test automation best…,2021/08/19 15:03:00
QA/SDET - Data Warehouse or Data Lake Exp  API Testing  Cucu...,Talent Tigers,Tampa  FL 33637 (Tampa Palms area)•Temporarily Remote,Today,job_e09dd380ca061c18,https://www.indeed.com/company/Talent-Tigers/jobs/QA-Sdet-e09dd380ca061c18?fccid=20cda01940a8e695&vjs=3,Experience in API testing across tools (Soap API & Postman). Understand the behavior of complex data warehousing and business intelligence solutions and apply…,2021/08/19 15:03:01
API Developer,Barings,Charlotte  NC,Today,job_fea44afd71c04324,https://www.indeed.com/rc/clk?jk=fea44afd71c04324&fccid=de8f3ae4683650a6&vjs=3,Technical expertise in the design  development  coding  testing  and debugging of software. Department: Global Technology and Operations – Enterprise Data Group…,2021/08/19 15:03:01
.NET API Developer,Highbrow-Tech,Remote,Today,job_6853df7709130a9d,https://www.indeed.com/rc/clk?jk=6853df7709130a9d&fccid=3c4418c05a3a90fc&vjs=3,Focused on where you stand on programming fundamentals  including common data types  design patterns  and data structures; object-oriented design principals;…,2021/08/19 15:03:01
QA Engineer,Mindgrub,Maryland•Remote,Today,job_55b6f7fc4605b021,https://www.indeed.com/rc/clk?jk=55b6f7fc4605b021&fccid=986d45b59b2bb5d9&vjs=3,Provide advanced testing and analytics. Responsible for structuring performance testing. Responsible for developing and executing performance testing.,2021/08/19 15:03:01
Java API Developer,Mark Technologies Inc,Tempe  AZ 85281•Remote,1 day ago,job_dbaf87716029d587,https://www.indeed.com/company/Mark-Technologies-Inc/jobs/Java-API-Developer-dbaf87716029d587?fccid=da71e3734cb35615&vjs=3,Manage the end to end delivery of the delivery engagements from solutioning   design  development  testing and deployment. Duration: 6 Months Contract to Hire.,2021/08/19 15:03:02
